action step time goats tigers
[die] 633 0.611316695679108 324 564
[predate] 634 0.6122156770250388 323 565
[predate] 635 0.6149510303902661 322 566
[die] 636 0.615447977230426 322 565
[die] 637 0.6175128645304769 322 564
[die] 638 0.6179851864040748 322 563
[predate] 639 0.6188662068471076 321 564
[die] 640 0.6193363761779102 321 563
[grow] 641 0.6202179890840129 322 563
[grow] 642 0.6204793929706627 323 563
[predate] 643 0.6227257146512047 322 564
[die] 644 0.6233906481184452 322 563
[die] 645 0.625079814200515 322 562
[grow] 646 0.628018453297061 323 562
[predate] 647 0.6285077861633903 322 563
[predate] 648 0.6295226462718636 321 564
[grow] 649 0.629592054997793 322 564
[die] 650 0.630228447804608 322 563
[grow] 651 0.6306001736527351 323 563
[die] 652 0.6311449530402743 323 562
[predate] 653 0.6323196107452199 322 563
[die] 654 0.6330410112282997 322 562
[die] 655 0.6366667556552843 322 561
[predate] 656 0.6367841198372792 321 562
[die] 657 0.6374801884751912 321 561
[die] 658 0.6388282653946199 321 560
[die] 659 0.6408557747366356 321 559
[grow] 660 0.641122577036997 322 559
[grow] 661 0.6412634305589285 323 559
[die] 662 0.6414392363114252 323 558
[predate] 663 0.644395072070105 322 559
[predate] 664 0.6462875062529251 321 560
[predate] 665 0.6465454958268666 320 561
[die] 666 0.6473531529189104 320 560
[die] 667 0.6474741382621583 320 559
[predate] 668 0.647894175329551 319 560
[predate] 669 0.6492977364369722 318 561
[predate] 670 0.649730141713387 317 562
[die] 671 0.6513011307311521 317 561
[die] 672 0.6542597003256958 317 560
[predate] 673 0.654360255243542 316 561
[grow] 674 0.6547045925265469 317 561
[grow] 675 0.6578056784659001 318 561
[die] 676 0.6585700528908575 318 560
[predate] 677 0.6587594731580647 317 561
[predate] 678 0.659685845038923 316 562
[grow] 679 0.6597090264212446 317 562
[predate] 680 0.6610043368011196 316 563
[die] 681 0.6610385498354535 316 562
[predate] 682 0.661440090209064 315 563
[die] 683 0.6614514059897146 315 562
[grow] 684 0.6621591589766866 316 562
[predate] 685 0.6632162649704376 315 563
[predate] 686 0.6647606818082452 314 564
[predate] 687 0.6662630050020252 313 565
[predate] 688 0.672825572924927 312 566
[die] 689 0.6735816271786004 312 565
[die] 690 0.6736394552015383 312 564
[predate] 691 0.6753695384528279 311 565
[die] 692 0.676122321237242 311 564
[grow] 693 0.6812162536406512 312 564
[die] 694 0.6847752923433744 312 563
[die] 695 0.6868787852480633 312 562
[die] 696 0.6872736323079824 312 561
[predate] 697 0.6883784638410891 311 562
[predate] 698 0.68884321506627 310 563
[die] 699 0.6893674129897355 310 562
[die] 700 0.6896233791824038 310 561
[predate] 701 0.6898909308098318 309 562
[predate] 702 0.690068658251914 308 563
[predate] 703 0.6902507909474749 307 564
[die] 704 0.6908021882389785 307 563
[predate] 705 0.6918511523467221 306 564
[die] 706 0.6958710795071152 306 563
[grow] 707 0.6966856838231189 307 563
[predate] 708 0.6971418783412953 306 564
[grow] 709 0.6981100899426241 307 564
[predate] 710 0.6994879142159415 306 565
[grow] 711 0.6995776752049047 307 565
